Question ID,Topic,Question Type,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Study Notes
Q1,CRX/Oak,Flashcard,Easy,"What tool must be used to run the offline compaction?","oak-run jar","AEM Web Console","CRXDE Lite","Package Manager","A","The oak-run jar tool is specifically designed for offline repository maintenance operations including compaction. It provides low-level access to the Oak repository for operations that cannot be performed while AEM is running.","Memorize: oak-run jar for offline compaction"
Q2,Maintenance,Flashcard,Medium,"A DevOps engineer configures a delay in the out-of-the-box online backup. What is the result of a delay that is too large?","Excessive reads of the repository occur","The backup takes more than 24 hours","The backup fails immediately","Repository performance improves","B","When using a very large delay in online backup configuration, the backup process becomes extremely slow. Adobe recommends that online backups should not take more than 24 hours, as backups exceeding this timeframe may not contain all binaries and should be discarded.","Key fact: Online backups should not exceed 24 hours"
Q3,Deployment,Practice Question,Medium,"A DevOps engineer needs to perform offline maintenance on a publish instance. Which step should the DevOps engineer take regarding replication of content?","Pause the replication queue to allow items to queue","Disable the replication agent for the publish instance","Deactivate the replication agent","Delete the replication agent","B","When performing offline maintenance on a publish instance, the replication agent should be disabled to prevent replication attempts to an unavailable target. This prevents replication failures and queue buildup during maintenance windows.","Think: Prevent replication to unavailable target"
Q4,CRX/Oak,INVALID,INVALID,"A DevOps engineer needs to change the default size for a tar file to 512MB. Which option should be used to enable this configuration?","Set changeSize property to 512 in DocumentNodeStoreService.config","Set tarmk.size property to 512 in SegmentNodeStoreService.config","Set Segment cache size property to 512 in Oak Segment TAR NodeStore Service","Set NodeState cache property to 512 in Document NodeStore Service","INVALID","This question is invalid because the maximum tar file size in Oak is 256MB and cannot be increased to 512MB. The question tests knowledge of a configuration that doesn't exist in practice.","REMOVE: This question tests non-existent functionality"
Q5,Deployment,Practice Question,Medium,"A DevOps engineer notices that existing pages are not updated through package installation. The updated pages are present after deleting the pages that are not updating and reinstalling the package. What is the source of the problem?","Update mode is set","Install mode is set","Merge mode is set","Replace mode is set","C","When merge mode is set, existing content is not modified - only new content is added and none is deleted or modified. This prevents updates to existing pages, which is why deleting and reinstalling works (it removes the old content first).","Key concept: Merge mode prevents updates to existing content"
Q6,Dispatcher,Practice Question,Hard,"An HTML page is published and accessible through the dispatcher. A client is trying to access the updated page but is not getting the updated content. Given: Cache-Control: max-age=3600 header is set for HTML requests. Why does the content fail to update on the client side?","The content is still cached in the dispatcher after the CDN flush","The file was cached on the client side in the browser cache","The flush occurred before content was replicated due to queue backlog","There is no /invalidate section to invalidate updated content","B","The Cache-Control: max-age=3600 header explicitly tells browsers to cache the content for 1 hour (3600 seconds). This prevents the browser from checking for updates regardless of server-side cache status, which is why the client cannot see updates even after CDN flush.","Critical: Browser cache headers override server-side cache management"
Q7,Security,Practice Question,Medium,"During security tests, AEM-specific paths were accessible on the publish instance that should not be accessible to the public. What is the best practice configuration on a publish dispatcher instance?","/0001 {/type ""deny"" /url ""/system/*""}","/0001 {/type ""deny"" /url ""/crx/*""}","/0001 {/type ""deny"" /glob ""/system/*""}","/0001 {/type ""deny"" /glob ""*""}","D","The best practice is to deny everything first with /0001 {/type ""deny"" /glob ""*""} and then explicitly allow only the content that should be publicly accessible. This follows the principle of ""deny by default, allow by exception"" for maximum security.","Security principle: Deny by default, allow by exception"
Q8,Deployment,Flashcard,Easy,"Assuming the project was generated using the AEM Maven archetype, which Maven command triggers the build and deployment of a content package to a publish instance?","mvn install -PautoInstallPackagePublish","mvn install -PautoInstallBundle","mvn install -PautoInstallPackage","mvn install deploy -Pmode=autoInstallPackage","A","The -PautoInstallPackagePublish profile builds and installs the package directly to the publisher instance. This is used when you want to deploy content packages directly to the publish server, bypassing the author instance.","Memorize: -PautoInstallPackagePublish for publish deployment"
Q9,Security,Practice Question,Medium,"How can a DevOps Engineer limit access to certain pages in the AEM Publish instance?","Use the security features of Adobe Drive","Use the AEM External Login Module","Use Closed User Groups (CUGs)","Use Access Control Lists for the authors","C","Closed User Groups (CUGs) are specifically designed to restrict access to specific pages in the publish environment. They require users to log in to view certain content and are commonly used for member-only sections of websites.","Key concept: CUGs for publish-side page restrictions"
Q10,Security,Practice Question,Hard,"A custom servlet will be called by end users, but it is unauthorized. The dispatcher includes a filter rule to allow the path, correct permissions are granted, and the servlet path is /system/public/post. What action must the DevOps Engineer take to make the servlet accessible?","Change the anonymous user name in Apache Sling Authentication Service configuration","Configure the anonymous user inside AEM security permissions tab","Add a new authentication configuration for the servlet agent under /etc/servlets","Add the servlet path to Apache Sling Authentication Service configuration","D","To make a servlet accessible without authentication, the servlet path must be added to the Apache Sling Authentication Service configuration's ""Authentication Requirements"" property with a minus sign prefix (e.g., -/system/public/post) to exclude it from authentication requirements.","Technical detail: Use minus prefix in Authentication Requirements to exclude paths"
Q11,Performance,Practice Question,Hard,"An AEM publish instance is running slower than expected with high page load times and degrading performance over time. A DevOps Engineer identified long-running search requests. Which step should be taken to resolve this issue?","Create new Lucene Index definitions to include OOTB and custom properties","Integrate SOLR Search Index with AEM","Modify the search component to use Core Components and leverage Index definitions","Use /allowedClients in dispatcher.any to cache requests with URL parameter q","B","SOLR is an external search platform that provides better performance for large-scale search operations. It handles concurrent search requests more efficiently and provides faster response times than the built-in Lucene indexes, making it ideal for resolving search performance issues.","Performance solution: SOLR for large-scale search operations"
Q12,CI/CD,Practice Question,Medium,"Which gate needs to be passed after the code is deployed?","Performance test gate","Compilation test gate","Code quality test gate","Unit test gate","A","Performance testing requires a fully deployed and running system to test actual user experience, response times, and system behavior under load. Compilation, unit tests, and code quality checks all occur before deployment.","Pipeline concept: Performance testing requires deployed system"
Q13,CI/CD,Practice Question,Medium,"In addition to manual start, what two triggers can a DevOps Engineer define to start the CI/CD pipeline? (Choose two.)","Offline start","On Git changes","Scheduled start","Data store changes","B and C","Git changes trigger automated builds when code is committed to the repository, while scheduled starts allow for time-based triggers for regular maintenance builds. These are the two most common automated trigger types for CI/CD pipelines.","CI/CD triggers: Git changes and scheduled starts"
Q14,Performance,Practice Question,Medium,"An end user reports performance issues on the site. The AEM environment uses a CDN and dispatcher as caching layers, and the number of requests on the publish instance has increased significantly. Which metric can be monitored to see trends related to the problem early enough to react?","""Current cache hit ratio"" in the dispatcher.log","Offload metric in the CDN","""Recent requests"" in AEM","Output from the request.log measuring response time","A","The cache hit ratio is an early warning indicator that shows caching effectiveness. A decreasing cache hit ratio indicates that more requests are bypassing the cache and hitting the publish instance, which precedes performance issues.","Monitoring concept: Cache hit ratio as early warning indicator"
Q15,Maintenance,Flashcard,Easy,"How often is a full online compaction (revision cleanup) run by default?","Every month","Every week","Every 2 weeks","Every 2 months","Once per day","According to Adobe documentation, full online compaction runs once per day by default. This is configured in the Operations Dashboard and is essential for maintaining repository health and performance.","Memorize: Online compaction runs once per day by default"
Q16,Security,Practice Question,Medium,"A client is submitting a form that contains a CSRF token passed using the CSRF-Token HTTP header. The header is visible in web server access logs but not present in the AEM instance request. What should the DevOps Engineer configure to make the values available on the AEM instance?","Add /clientheaders { ""CSRF-Token"" } in the dispatcher configuration","Add X-Forwarded-Header: CSRF-Token in the virtual host configuration","Add Header set CSRF-Token in the virtual host configuration","Add /filter /0001{/type ""allow"" /glob ""CSRF-Token""} in the dispatcher configuration","A","The /clientheaders section in dispatcher.any explicitly tells the dispatcher to forward specific headers to AEM. Adding ""CSRF-Token"" to this section will make the CSRF token available in AEM requests.","Dispatcher config: /clientheaders forwards headers to AEM"
Q17,Cloud Service,Practice Question,Medium,"A DevOps engineer is migrating an AEM 6.2 instance with a large content repository to AEM as a Cloud Service. The DevOps engineer must prepare the instance to move existing content via the Content Transfer Tool. Which two actions is the DevOps engineer required to perform? (Choose two.)","Refactor the application code","Upgrade the instance to AEM 6.5","Review total index size","Install the latest AEM Service Packs","B and C","The Content Transfer Tool requires a minimum of AEM 6.5, so upgrading from 6.2 is mandatory. Reviewing the total index size is also required because Cloud Service uses a different indexing approach, and index size affects migration planning.","Migration requirements: AEM 6.5 minimum and index size review"
Q18,OSGi,Practice Question,Hard,"A page cannot be rendered (HTTP response 500). The log file shows a NullPointerException. The source code points to a missing OSGi service ""NavigationService"" that uses @Reference to inject this service. What are four possible causes of this issue? (Choose four.)","The bundle containing the NavigationService implementation is in state INSTALLED","The bundle containing the NavigationService implementation is in state ACTIVE","The bundle containing the NavigationService implementation is in state RESOLVED","The implementation of the SCR component has unsatisfied references","The bundle shows different versions in ""Bundle Location"" compared to ""Version"" in Felix Console","The interface NavigationService and implementation reside in different bundles","The @Reference annotation was invalidly used in a class that is not an SCR component","There is more than one implementation of NavigationService active in the system","A, D, F, G","INSTALLED state means the bundle cannot provide services (dependencies not resolved). Unsatisfied references prevent the component from activating. Interface and implementation in different bundles can cause version mismatches. @Reference only works in proper SCR components; invalid usage prevents service injection.","OSGi troubleshooting: Bundle states, unsatisfied references, component setup"
